id,Tên,Đặc Điểm,Thời kỳ,Công dụng / Ý nghĩa
1,Trống đồng Ngọc Lũ,"Đúc bằng đồng với hoa văn mặt trời, chim, thuyền và sinh hoạt cộng đồng.
Tinh xảo về kỹ thuật đúc và trang trí, kích thước lớn, âm thanh vang.
Biểu tượng văn hóa Đông Sơn, dùng trong nghi lễ và khẳng định địa vị cộng đồng.",Văn Lang – Âu Lạc (700 TCN – 179 TCN),"Dùng trong nghi lễ tôn giáo, tế tự và trình diễn âm nhạc; biểu trưng quyền lực và bản sắc văn hóa."
2,Trống đồng Hoàng Hạ,"Kích thước vừa, hoa văn vòng đồng tâm và hình người nhảy múa.
Vật liệu đồng nguyên chất, phản ánh nghề luyện kim phát triển.
Thường được khai quật ở khu mộ và nơi hội họp.",Văn Lang – Âu Lạc,"Dùng trong nghi lễ, hội làng và các hoạt động cộng đồng; cung cấp tư liệu về đời sống tinh thần cổ đại."
3,Rìu đồng lưỡi xéo,"Lưỡi đúc bằng đồng, mặt lưỡi hơi cong, cán gỗ gắn chắc.
Dấu vết mũi rìu cho thấy mài chuốt kỹ thuật.
Tìm thấy ở nhiều di chỉ Đông Sơn.",Văn Lang – Âu Lạc,"Dụng cụ lao động, vũ khí ngắn; phản ánh nghề thủ công và chiến tranh nhỏ trong xã hội cổ."
4,Thạp đồng Đào Thịnh,"Thạp lớn bằng đồng, trang trí hình người, chim và hoa văn vòng.
Kiểu dạng chứa và lưu trữ đồ giá trị; chế tác công phu.
Tìm thấy trong mộ cổ có tầng lớp đặc quyền.",Văn Lang – Âu Lạc,"Dùng làm đồ chứa, có thể dùng trong nghi lễ hay mai táng; biểu thị chức năng xã hội và tín ngưỡng."
5,Mũi tên đồng Cổ Loa,"Đúc bằng đồng, thân ngắn, mũi sắc, có phần gắn chuôi.
Vật phẩm liên quan đến thành Cổ Loa và truyền thuyết An Dương Vương.
Chứng tỏ kỹ nghệ đúc mũi tên khá phát triển.",Âu Lạc,"Vũ khí chiến đấu, công cụ săn bắn; mang ý nghĩa quân sự và lịch sử địa phương."
6,Mảnh gốm Phùng Nguyên,"Mảnh gốm thô, họa tiết khắc vạch và chấm, nung ở nhiệt độ tương đối thấp.
Phù hợp với sinh hoạt gia đình và lưu trữ thức ăn.
Thể hiện bước đầu phát triển nghề gốm bản địa.",Văn Lang – Âu Lạc,Dụng cụ sinh hoạt hàng ngày; cung cấp thông tin về kỹ thuật và đời sống vật chất thời cổ.
7,Khuôn đúc rìu đá,"Khuôn bằng đá với vết rãnh đúc hình lưỡi rìu và giáo.
Cho thấy kỹ thuật đúc được thực hiện từ sớm.
Liên quan đến quá trình chuyển đổi công cụ đá sang kim loại.",Văn Lang – Âu Lạc,Dùng để sản xuất công cụ và vũ khí; minh chứng tổ chức sản xuất và chuyên môn hóa nghề thủ công.
8,Khuyên tai đá hình thú,"Khuyên tai chế tác từ đá mã não hoặc đá cuội, mài nhẵn, khắc hình thú.
Độ mài và họa tiết cho biết tay nghề cao của thợ tạo tác.
Được tìm thấy cùng vật dụng mai táng.",Văn Lang – Âu Lạc,"Đồ trang sức cá nhân, có thể biểu hiện địa vị xã hội và tín ngưỡng."
9,Dao găm đồng,"Lưỡi mỏng bằng đồng, cán nhỏ, đôi khi chạm khắc hoa văn.
Giữ vết gỉ và các dấu sửa chữa cho thấy sử dụng lâu dài.
Thường xuất hiện trong mộ chiến binh.",Văn Lang – Âu Lạc,"Vũ khí cá nhân, vật nghi lễ hoặc biểu tượng quyền lực của thủ lĩnh."
10,Mô hình nhà sàn đất nung,"Mô hình nhỏ bằng đất nung, tái hiện cấu trúc sàn nhà, cột và mái.
Thường đặt trong mộ để minh họa kiến trúc đời sống.
Cho thấy dạng nhà ở truyền thống sông nước.",Văn Lang – Âu Lạc,Giúp nghiên cứu tập quán cư trú; có thể dùng trong nghi lễ mai táng để tái hiện thế giới sống.
11,Bình gốm Luy Lâu,"Gốm nung kỹ, men không bóng, bề mặt mịn, vài trường hợp có chữ Hán khắc.
Phản ánh kỹ thuật nung chịu ảnh hưởng Trung Hoa nhưng có bản sắc địa phương.
Thường dùng trong sinh hoạt và thương mại.",Thời Bắc thuộc (179 TCN – 938 SCN),"Dụng cụ sinh hoạt, vật trao đổi thương mại; minh chứng giao lưu văn hóa và kỹ thuật."
12,Tượng Phật Đồng Dương,"Tượng đồng mô phỏng phong cách Phật giáo Ấn-Á, tỉ lệ cân đối, có sắc nét điêu khắc.
Liên quan tới trung tâm Phật giáo lớn ở miền Bắc.
Thể hiện sự du nhập và phát triển tôn giáo.",Thời Bắc thuộc,Dùng trong thờ tự Phật giáo; minh chứng giao lưu tôn giáo và nghệ thuật.
13,Gạch in chữ Hán,"Gạch lát hoặc trang trí có chữ Hán in chìm, thường dùng trong kiến trúc công trình hành chính.
Cho thấy sử dụng chữ viết và nguồn lực tổ chức xây dựng.
Phát hiện ở thành lũy và di tích đô thị.",Thời Bắc thuộc,Dùng xây dựng công trình; chứng tỏ quản lý hành chính và văn hóa đô hộ.
14,Đồ sắt Giao Chỉ,"Công cụ và vũ khí làm bằng sắt như cuốc, liềm, dao và mũi giáo.
Dấu vết rèn cho thấy nghề rèn phát triển, phục vụ nông nghiệp và quân sự.
Tìm thấy ở làng nghề và di tích chiến trận.",Thời Bắc thuộc,Dụng cụ sản xuất và vũ khí; phản ánh đời sống kinh tế và nhu cầu quân sự.
15,Đầu ngói trang trí hình rồng,"Đầu ngói bằng đất nung có họa tiết rồng hoặc hoa văn truyền thống.
Thường gắn trên mái chùa, đền hoặc công trình có vị thế.
Ảnh hưởng thẩm mỹ Trung Hoa nhưng được địa phương hóa.",Thời Bắc thuộc,"Trang trí kiến trúc, biểu thị địa vị và tôn nghiêm của công trình."
16,Đồng tiền Ngũ Thù,"Tiền đồng nhỏ, khắc ký hiệu, dùng làm phương tiện trao đổi.
Được lưu hành trong khu vực đô hộ, đôi khi lẫn tiền địa phương.
Cung cấp thông tin về hệ thống kinh tế cổ.",Thời Bắc thuộc,"Phương tiện trao đổi thương mại và thuế, minh chứng cơ chế kinh tế dưới đô hộ."
17,Đèn đồng cổ,"Đèn bằng đồng đúc, có thân và tay cầm, bề mặt có hoa văn đơn giản.
Sử dụng dầu thực vật làm nhiên liệu chiếu sáng.
Tìm thấy trong di tích nhà ở và đền miếu.",Thời Bắc thuộc,Dụng cụ chiếu sáng trong sinh hoạt và nghi lễ; thể hiện mức sống tầng lớp nhất định.
18,Ấn triện hành chính,"Ấn bằng đồng hoặc đất nung, khắc chữ Hán, dùng đóng lên văn bản.
Liên quan tới cơ cấu hành chính đô hộ và địa phương.
Thể hiện quyền lực và tính pháp lý của văn bản.",Thời Bắc thuộc,Dùng để chứng thực văn thư và mệnh lệnh; minh chứng quyền hạn quản lý.
19,Gương đồng khắc hoa văn,"Gương đồng tròn, mặt đánh bóng và mặt sau chạm khắc hoa văn trang trí.
Được sử dụng rộng rãi như đồ trang trí cao cấp.
Thường xuất hiện trong mộ những người có địa vị.",Thời Bắc thuộc,"Vật trang trí cá nhân, tín ngưỡng và thể hiện quan hệ giao thương văn hóa."
20,Chuông đồng Linh Sơn,"Chuông đồng lớn, mặt khắc minh văn, thường đặt trong chùa.
Âm thanh vang, kỹ thuật đúc đạt trình độ cao.
Gắn với hoạt động tôn giáo Phật giáo.",Thời Bắc thuộc – đầu độc lập,Dùng trong nghi lễ chùa chiền; minh chứng phát triển Phật giáo tại địa phương.
21,Ấn triện nhà Lý,"Ấn triện bằng đồng, khắc chữ Hán nêu chức danh quan lại.
Chế tác tinh xảo, kích thước và kiểu dáng phản ánh thứ bậc.
Tìm thấy trong kho lưu trữ hành chính và mộ quan lại.",Độc lập – Đại Việt (938 – 1407),"Dùng để đóng mộc văn thư, xác nhận mệnh lệnh và quyền lực hành chính."
22,Bia đá chùa Long Đọi,"Bia đá khắc chữ Hán Nôm, kèm họa tiết trang trí hình rồng, mây.
Ghi chép lịch sử xây dựng chùa, công đức sư sãi và sự kiện thời Lý.
Giá trị về ngôn ngữ và nghệ thuật.",Thời Lý,"Ghi chép lịch sử, văn bản pháp lý và tôn vinh người có công; nguồn tài liệu cho nghiên cứu."
23,Chuông đồng Vân Bản,"Chuông đồng đúc lớn, mặt có khắc minh văn và hoa văn trang trí.
Âm thanh và kích thước cho thấy vai trò trong sinh hoạt tôn giáo.
Được sử dụng ở các chùa lớn và trung tâm Phật giáo.",Thời Lý – Trần,"Dùng trong nghi lễ, tụng kinh và truyền tin nội bộ trong chùa."
24,Gốm men ngọc thời Lý,"Gốm men có lớp men mịn, màu xanh ngọc nhẹ, bề mặt bóng.
Thể hiện kỹ thuật nung men tinh tế và sự phát triển làng nghề.
Sản phẩm được dùng trong triều đình và xuất khẩu.",Thời Lý,Đồ gia dụng cao cấp và đồ cúng; biểu thị thẩm mỹ và kỹ thuật nghệ nhân.
25,Tượng A Di Đà chùa Phật Tích,"Tượng đá lớn, điêu khắc tỉ mỉ, biểu cảm khuôn mặt hiền từ.
Kích thước và độ tinh xảo cho thấy trình độ nghệ thuật điêu khắc cao.
Gắn liền với điểm hành hương và tín ngưỡng.",Thời Lý – Trần,Dùng trong thờ Phật và nghi lễ; thể hiện ảnh hưởng Phật giáo trong đời sống tinh thần.
26,Đầu rồng gốm men,"Mảnh đầu rồng bằng gốm men, họa tiết rồng uốn lượn, men bóng.
Được dùng trang trí mái đình, cung điện hoặc đền chùa.
Thể hiện biểu tượng quyền lực và linh thiêng.",Thời Lý – Trần,"Trang trí kiến trúc cung đình, phản ánh biểu tượng hoàng gia và thẩm mỹ kiến trúc."
27,Võ khí thép Đại Việt,"Gươm và giáo rèn tỉ mỉ, thép qua luyện khéo, có hoa văn hay khắc tên.
Nhiều mẫu liên quan tới Trần Hưng Đạo và thời chiến chống Mông – Nguyên.
Cho thấy công nghệ luyện kim phục vụ quân sự.",Thời Trần,"Vũ khí trong chiến tranh, là nhân tố quan trọng góp phần bảo vệ độc lập quốc gia."
28,Bia tiến sĩ Văn Miếu,"Bảng đá khắc tên tiến sĩ đỗ đạt trong khoa thi, xếp theo năm.
Ghi lại truyền thống hiếu học và hệ thống khoa cử thời phong kiến.
Bảo tồn được nhiều thông tin về tên tuổi và địa phương.",Thời Lý – Trần,Ghi danh hiền tài; minh chứng truyền thống học tập và tuyển dụng nho học.
29,Bình gốm hoa lam Chu Đậu,"Gốm trắng men hoa lam, họa tiết vẽ tay tinh xảo, nung ở nhiệt độ cao.
Sản phẩm làng nghề Chu Đậu nổi tiếng, có dấu ấn thương mại.
Gồm bát, bình, chậu và đồ trang trí.",Thời Trần – Lê,"Dùng trong sinh hoạt, nghi lễ và xuất khẩu; thể hiện thương mại quốc tế."
30,Tượng Trần Hưng Đạo,"Tượng tưởng niệm bằng đồng/đá, mô tả tướng quân trong trang phục chiến bào.
Thể hiện hình tượng anh hùng dân tộc sau này được tôn vinh rộng rãi.
Bản gốc thường xuất hiện trong văn bia và di tích.",Thời Trần,Biểu tượng tinh thần kháng chiến chống ngoại xâm; dùng trong nghi lễ tưởng niệm.
31,Tượng Phật nghìn mắt nghìn tay,"Tượng phức tạp với nhiều đầu tay, khắc họa lòng từ bi.
Kỹ thuật điêu khắc cao, tỉ mỉ từng chi tiết trang trí.
Gắn với truyền thống tôn giáo và mỹ thuật chùa chiền.",Thời Trần,"Dùng làm đối tượng thờ cúng, giúp người dân tìm tới niềm an ủi tinh thần."
32,Gươm báu Trần,"Gươm có bản rộng, lưỡi được mài kỹ, có vết gỉ và dấu sửa chữa.
Liên kết với truyền thuyết và các lễ hội truyền thống.
Được truyền trong gia tộc hoặc lưu giữ tại đền thờ.",Thời Trần,"Vật kỷ niệm chiến tích, biểu tượng quyền lực và truyền thống quân sự."
33,Khánh đá,"Khánh (khánh đồng/phách) bằng đá chạm khắc họa tiết tôn giáo.
Dùng trong tập tục chùa chiền và nghi lễ Phật giáo.
Kết cấu âm thanh đặc trưng, giữ vai trò nghi lễ.",Thời Lý – Trần,"Dụng cụ nghi lễ, báo hiệu trong tụng kinh và sinh hoạt tôn giáo."
34,Trống da chiến trận,"Trống da lớn, mặt da căng, khung gỗ chắc chắn, âm vang lớn.
Sử dụng trong quân đội để truyền lệnh và khích lệ binh sĩ.
Cũng dùng trong nghi lễ cộng đồng.",Thời Trần,Dùng để ra hiệu trong trận mạc và tăng tinh thần đoàn kết; biểu tượng văn hóa.
35,Bình rượu men trắng,"Bình gốm men trắng, họa tiết hoa văn dân gian, miệng bình hẹp.
Dùng trong sinh hoạt ẩm thực và lễ hội; dễ bảo quản rượu.
Tìm thấy trong mộ và di chỉ sinh hoạt.",Thời Trần,"Dụng cụ gia đình và nghi lễ, góp phần nghiên cứu ẩm thực và sinh hoạt."
